  1000 119
 100.
   1300.0   -7.2087   -7.9862   -8.6262   -7.0207
   1320.0   -7.2866   -8.0287   -8.5954   -7.0926
   1340.0   -7.3569   -8.0717   -8.5648   -7.1643
   1360.0   -7.4178   -8.1150   -8.5342   -7.2356
   1380.0   -7.4676   -8.1586   -8.5038   -7.3068
   1400.0   -7.5118   -8.2024   -8.4734   -7.3777
   1420.0   -7.5628   -8.2463   -8.4431   -7.4485
   1440.0   -7.6233   -8.2901   -8.4129   -7.5191
   1460.0   -7.6861   -8.3337   -8.3829   -7.5895
   1480.0   -7.7462   -8.3772   -8.3529   -7.6597
   1500.0   -7.8005   -8.4205   -8.3231   -7.7298
   1520.0   -7.8471   -8.4635   -8.2933   -7.7997
   1540.0   -7.8847   -8.5065   -8.2637   -7.8694
   1560.0   -7.9117   -8.5495   -8.2341   -7.9390
   1580.0   -7.9282   -8.5927   -8.2047   -8.0084
   1600.0   -7.9369   -8.6359   -8.1755   -8.0777
   1620.0   -7.9425   -8.6793   -8.1461   -8.1469
   1640.0   -7.9502   -8.7225   -8.1169   -8.2159
   1660.0   -7.9642   -8.7659   -8.0879   -8.2847
   1680.0   -7.9864   -8.8091   -8.0590   -8.3534
   1700.0   -8.0164   -8.8526   -8.0302   -8.4218
   1720.0   -8.0533   -8.8964   -8.0015   -8.4901
   1740.0   -8.0952   -8.9404   -7.9729   -8.5583
   1760.0   -8.1406   -8.9842   -7.9445   -8.6263
   1780.0   -8.1886   -9.0278   -7.9163   -8.6941
   1800.0   -8.2380   -9.0714   -7.8881   -8.7617
   1820.0   -8.2882   -9.1152   -7.8601   -8.8291
   1840.0   -8.3386   -9.1590   -7.8322   -8.8964
   1860.0   -8.3889   -9.2027   -7.8045   -8.9634
   1880.0   -8.4390   -9.2463   -7.7770   -9.0302
   1900.0   -8.4885   -9.2899   -7.7496   -9.0968
   1920.0   -8.5375   -9.3337   -7.7224   -9.1631
   1940.0   -8.5855   -9.3777   -7.6953   -9.2292
   1960.0   -8.6323   -9.4215   -7.6684   -9.2951
   1980.0   -8.6779   -9.4653   -7.6419   -9.3608
   2000.0   -8.7218   -9.5091   -7.6156   -9.4261
   2020.0   -8.7639   -9.5530   -7.5895   -9.4912
   2040.0   -8.8046   -9.5970   -7.5637   -9.5560
   2060.0   -8.8442   -9.6411   -7.5380   -9.6205
   2080.0   -8.8836   -9.6851   -7.5127   -9.6846
   2100.0   -8.9233   -9.7290   -7.4876   -9.7485
   2120.0   -8.9639   -9.7730   -7.4628   -9.8120
   2140.0   -9.0054   -9.8168   -7.4383   -9.8753
   2160.0   -9.0479   -9.8606   -7.4142   -9.9382
   2180.0   -9.0910   -9.9044   -7.3903  -10.0007
   2200.0   -9.1344   -9.9481   -7.3668  -10.0629
   2220.0   -9.1778   -9.9917   -7.3437  -10.1246
   2240.0   -9.2214  -10.0353   -7.3208  -10.1859
   2260.0   -9.2648  -10.0788   -7.2983  -10.2469
   2280.0   -9.3077  -10.1221   -7.2762  -10.3074
   2300.0   -9.3504  -10.1653   -7.2545  -10.3676
   2320.0   -9.3929  -10.2083   -7.2332  -10.4273
   2340.0   -9.4350  -10.2510   -7.2123  -10.4865
   2360.0   -9.4768  -10.2935   -7.1918  -10.5454
   2380.0   -9.5183  -10.3356   -7.1716  -10.6037
   2400.0   -9.5593  -10.3773   -7.1519  -10.6616
   2420.0   -9.6000  -10.4188   -7.1326  -10.7191
   2440.0   -9.6405  -10.4599   -7.1137  -10.7760
   2460.0   -9.6808  -10.5005   -7.0952  -10.8325
   2480.0   -9.7206  -10.5408   -7.0771  -10.8885
   2500.0   -9.7602  -10.5809   -7.0594  -10.9440
   2520.0   -9.7995  -10.6206   -7.0422  -10.9991
   2540.0   -9.8384  -10.6599   -7.0253  -11.0537
   2560.0   -9.8774  -10.6987   -7.0088  -11.1078
   2580.0   -9.9161  -10.7368   -6.9929  -11.1614
   2600.0   -9.9544  -10.7743   -6.9772  -11.2145
   2620.0   -9.9925  -10.8109   -6.9619  -11.2672
   2640.0  -10.0303  -10.8471   -6.9470  -11.3194
   2660.0  -10.0680  -10.8831   -6.9325  -11.3711
   2680.0  -10.1055  -10.9192   -6.9184  -11.4224
   2700.0  -10.1427  -10.9559   -6.9045  -11.4731
   2720.0  -10.1798  -10.9933   -6.8910  -11.5235
   2740.0  -10.2167  -11.0312   -6.8779  -11.5736
   2760.0  -10.2534  -11.0694   -6.8651  -11.6231
   2780.0  -10.2899  -11.1078   -6.8526  -11.6722
   2800.0  -10.3263  -11.1459   -6.8404  -11.7209
   2820.0  -10.3625  -11.1835   -6.8285  -11.7692
   2840.0  -10.3984  -11.2207   -6.8169  -11.8171
   2860.0  -10.4342  -11.2576   -6.8056  -11.8648
   2880.0  -10.4699  -11.2943   -6.7945  -11.9119
   2900.0  -10.5055  -11.3308   -6.7836  -11.9587
   2920.0  -10.5410  -11.3675   -6.7730  -12.0052
   2940.0  -10.5762  -11.4053   -6.7625  -12.0514
   2960.0  -10.6113  -11.4457   -6.7523  -12.0973
   2980.0  -10.6462  -11.4898   -6.7423  -12.1428
   3000.0  -10.6811  -11.5388   -6.7324  -12.1881
   3020.0  -10.7158  -11.5942   -6.7227  -12.2331
   3040.0  -10.7505  -11.6576   -6.7132  -12.2778
   3060.0  -10.7851  -11.7308   -6.7038  -12.3222
   3080.0  -10.8192  -11.8155   -6.6946  -12.3664
   3100.0  -10.8534  -11.9137   -6.6855  -12.4105
   3120.0  -10.8876  -12.0243   -6.6765  -12.4542
   3140.0  -10.9214  -12.1389   -6.6677  -12.4977
   3160.0  -10.9549  -12.2455   -6.6589  -12.5411
   3180.0  -10.9879  -12.3331   -6.6503  -12.5842
   3200.0  -11.0206  -12.3897   -6.6417  -12.6271
   3220.0  -11.0528  -12.4075   -6.6333  -12.6699
   3240.0  -11.0866  -12.3876   -6.6249  -12.7125
   3260.0  -11.1130  -12.3350   -6.6166  -12.7549
   3280.0  -11.1333  -12.2544   -6.6084  -12.7972
   3300.0  -11.1514  -12.1504   -6.6002  -12.8393
   3320.0  -11.1572  -12.0270   -6.5920  -12.8813
   3340.0  -11.1446  -11.8861   -6.5839  -12.9231
   3360.0  -11.1034  -11.7282   -6.5759  -12.9649
   3380.0  -11.0266  -11.5546   -6.5679  -13.0065
   3400.0  -10.9036  -11.3660   -6.5601  -13.0480
   3420.0  -10.7406  -11.1647   -6.5521  -13.0894
   3440.0  -10.5505  -10.9572   -6.5443  -13.1307
   3460.0  -10.3360  -10.7517   -6.5365  -13.1719
   3480.0  -10.1088  -10.5556   -6.5289  -13.2130
   3500.0   -9.8624  -10.3772   -6.5211  -13.2540
   3520.0   -9.6201  -10.2220   -6.5134  -13.2950
   3540.0   -9.4128  -10.0889   -6.5058  -13.3359
   3560.0   -9.2582   -9.9741   -6.4980  -13.3767
   3580.0   -9.1818   -9.8744   -6.4904  -13.4174
   3600.0   -9.1770   -9.7865   -6.4828  -13.4580
   3620.0   -9.2039   -9.7060   -6.4752  -13.4986
   3640.0   -9.2085   -9.6263   -6.4677  -13.5392
   3660.0   -9.1530   -9.5399   -6.4601  -13.5796
   3680.0   -9.0262   -9.4395   -6.4525  -13.6200
   3700.0   -8.8426   -9.3172   -6.4450  -13.6605
   3720.0   -8.6222   -9.1693   -6.4374  -13.7008
   3740.0   -8.3904   -9.0022   -6.4300  -13.7410
   3760.0   -8.1401   -8.8268   -6.4224  -13.7813
   3780.0   -7.9193   -8.6530   -6.4150  -13.8215
   3800.0   -7.7810   -8.4915   -6.4076  -13.8617
   3820.0   -7.7149   -8.3488   -6.4002  -13.9017
   3840.0   -7.7195   -8.2206   -6.3929  -13.9419
   3860.0   -7.7372   -8.0988   -6.3855  -13.9819
   3880.0   -7.7290   -7.9757   -6.3781  -14.0219
   3900.0   -7.6819   -7.8431   -6.3706  -14.0619
   3920.0   -7.5826   -7.6954   -6.3630  -14.1019
   3940.0   -7.4445   -7.5339   -6.3557  -14.1419
   3960.0   -7.2807   -7.3626   -6.3489  -14.1817
   3980.0   -7.1022   -7.1849   -6.3428  -14.2217
   4000.0   -6.9153   -7.0045   -6.3379  -14.2615
   4020.0   -6.7234   -6.8251   -6.3343  -14.3013
   4040.0   -6.5285   -6.6503   -6.3318  -14.3412
   4060.0   -6.3319   -6.4838   -6.3300  -14.3810
   4080.0   -6.1353   -6.3295   -6.3285  -14.4207
   4100.0   -5.9429   -6.1910   -6.3270  -14.4605
